,Board State,Score,Best Move,Depth
1393,"((1, 0, 1), (0, 0, 0), (-1, 0, 0))",2,"(0, 1)",3
2922,"((-1, 0, 1), (0, 0, 0), (0, 1, 0))",0,"(2, 0)",3
2929,"((-1, 0, 1), (0, 0, 0), (0, 0, 1))",2,"(0, 1)",3
2534,"((0, 1, 0), (1, 0, -1), (0, 0, 0))",0,"(0, 0)",3
1402,"((1, 0, 0), (1, 0, 0), (-1, 0, 0))",-2,"(2, 1)",3
1408,"((1, 0, 0), (0, 1, 0), (-1, 0, 0))",0,"(2, 2)",3
1413,"((1, 0, 0), (0, 0, 1), (-1, 0, 0))",0,"(2, 2)",3
1415,"((1, 0, 0), (0, 0, 0), (-1, 1, 0))",0,"(0, 1)",3
3007,"((0, -1, 1), (1, 0, 0), (0, 0, 0))",0,"(1, 1)",3
1417,"((1, 0, 0), (0, 0, 0), (-1, 0, 1))",2,"(0, 1)",3
1424,"((1, 1, 0), (0, 0, 0), (0, -1, 0))",0,"(0, 2)",3
1096,"((1, 0, 0), (-1, 0, 0), (0, 0, 1))",0,"(1, 1)",3
1153,"((1, 1, 0), (0, -1, 0), (0, 0, 0))",0,"(0, 2)",3
1091,"((1, 0, 0), (-1, 0, 0), (0, 1, 0))",0,"(1, 1)",3
1358,"((1, 0, 0), (0, 1, -1), (0, 0, 0))",2,"(0, 1)",3
1234,"((1, 0, 0), (1, -1, 0), (0, 0, 0))",0,"(2, 0)",3
2590,"((0, 1, 0), (0, 0, 0), (-1, 1, 0))",-2,"(1, 1)",3
2592,"((0, 1, 0), (0, 0, 0), (-1, 0, 1))",0,"(0, 0)",3
2599,"((0, 1, 1), (0, 0, 0), (0, -1, 0))",0,"(0, 0)",3
2583,"((0, 1, 0), (0, 1, 0), (-1, 0, 0))",0,"(2, 1)",3
2604,"((0, 1, 0), (1, 0, 0), (0, -1, 0))",0,"(0, 0)",3
1300,"((1, 1, 0), (0, 0, -1), (0, 0, 0))",-2,"(0, 2)",3
2608,"((0, 1, 0), (0, 1, 0), (0, -1, 0))",0,"(0, 0)",3
2611,"((0, 1, 0), (0, 0, 1), (0, -1, 0))",0,"(0, 0)",3
2613,"((0, 1, 0), (0, 0, 0), (1, -1, 0))",0,"(0, 0)",3
2614,"((0, 1, 0), (0, 0, 0), (0, -1, 1))",0,"(0, 0)",3
2616,"((0, 1, 1), (0, 0, 0), (0, 0, -1))",2,"(0, 0)",3
