,Board State,Score,Best Move,Depth
221,"((1, -1, -1), (1, 0, 0), (-1, 0, 1))",2,"(1, 1)",6
222,"((1, -1, -1), (1, 0, 0), (0, -1, 1))",2,"(1, 1)",6
223,"((1, -1, -1), (1, 0, 0), (0, 0, 1))",2,"(1, 1)",5
224,"((1, -1, -1), (1, 0, 0), (0, 0, 0))",2,"(1, 1)",4
225,"((1, -1, 0), (1, -1, 1), (-1, 1, -1))",0,"(0, 2)",8
226,"((1, -1, 0), (1, -1, 1), (-1, 1, 0))",-2,"(0, 2)",7
227,"((1, -1, 0), (1, -1, 1), (-1, 0, 1))",-2,"(0, 2)",7
228,"((1, -1, 0), (1, -1, 1), (-1, 0, 0))",-2,"(0, 2)",6
229,"((1, -1, 0), (1, -1, 1), (0, 1, -1))",0,"(2, 0)",7
230,"((1, -1, 0), (1, -1, 1), (0, 0, -1))",2,"(2, 0)",6
231,"((1, -1, 0), (1, -1, 1), (0, 0, 0))",-2,"(2, 0)",5
232,"((1, -1, 0), (1, -1, -1), (-1, 1, 1))",0,"(0, 2)",8
233,"((1, -1, 0), (1, -1, -1), (0, 1, 1))",0,"(2, 0)",7
234,"((1, -1, 0), (1, -1, -1), (0, 1, 0))",2,"(2, 0)",6
235,"((1, -1, 0), (1, -1, 0), (-1, 1, 1))",-2,"(0, 2)",7
236,"((1, -1, 0), (1, -1, 0), (-1, 1, 0))",0,"(0, 2)",6
237,"((1, -1, 0), (1, -1, 0), (0, 1, -1))",2,"(2, 0)",6
238,"((1, -1, 0), (1, -1, 0), (0, 1, 0))",0,"(2, 0)",5
239,"((1, -1, 0), (1, -1, -1), (0, 0, 1))",2,"(2, 0)",6
240,"((1, -1, 0), (1, -1, 0), (-1, 0, 1))",-2,"(0, 2)",6
241,"((1, -1, 0), (1, -1, 0), (0, 0, 1))",-2,"(2, 0)",5
242,"((1, -1, 0), (1, -1, 0), (0, 0, 0))",2,"(2, 0)",4
243,"((1, -1, 0), (1, 1, -1), (-1, 1, -1))",0,"(0, 2)",8
244,"((1, -1, 0), (1, 1, -1), (-1, 1, 0))",0,"(2, 2)",7
245,"((1, -1, 0), (1, 1, -1), (-1, 0, 0))",2,"(2, 2)",6
246,"((1, -1, 0), (1, 1, -1), (0, -1, 0))",2,"(0, 2)",6
247,"((1, -1, 0), (1, 1, -1), (0, 1, -1))",-2,"(0, 2)",7
248,"((1, -1, 0), (1, 1, -1), (0, 0, -1))",2,"(2, 0)",6
249,"((1, -1, 0), (1, 1, -1), (0, 0, 0))",2,"(0, 2)",5
250,"((1, -1, 0), (1, 0, -1), (-1, 1, 1))",0,"(1, 1)",7
251,"((1, -1, 0), (1, 0, -1), (-1, 1, 0))",0,"(0, 2)",6
252,"((1, -1, 0), (1, 0, -1), (0, 1, -1))",2,"(2, 0)",6
253,"((1, -1, 0), (1, 0, -1), (0, 1, 0))",0,"(2, 0)",5
254,"((1, -1, 0), (1, 0, -1), (-1, 0, 1))",2,"(1, 1)",6
255,"((1, -1, 0), (1, 0, -1), (0, -1, 1))",2,"(1, 1)",6
256,"((1, -1, 0), (1, 0, -1), (0, 0, 1))",2,"(0, 2)",5
257,"((1, -1, 0), (1, 0, -1), (0, 0, 0))",2,"(1, 1)",4
258,"((1, -1, 0), (1, 1, 0), (-1, -1, 0))",2,"(1, 2)",6
259,"((1, -1, 0), (1, 1, 0), (-1, 1, -1))",0,"(1, 2)",7
260,"((1, -1, 0), (1, 1, 0), (-1, 0, -1))",2,"(1, 2)",6
261,"((1, -1, 0), (1, 1, 0), (-1, 0, 0))",2,"(0, 2)",5
262,"((1, -1, 0), (1, 0, 1), (-1, -1, 1))",-2,"(1, 1)",7
263,"((1, -1, 0), (1, 0, 1), (-1, -1, 0))",2,"(1, 1)",6
264,"((1, -1, 0), (1, 0, 1), (-1, 1, -1))",0,"(1, 1)",7
265,"((1, -1, 0), (1, 0, 1), (-1, 0, -1))",2,"(1, 1)",6
266,"((1, -1, 0), (1, 0, 1), (-1, 0, 0))",-2,"(1, 1)",5
267,"((1, -1, 0), (1, 0, 0), (-1, 1, -1))",0,"(0, 2)",6
268,"((1, -1, 0), (1, 0, 0), (-1, 1, 0))",0,"(1, 1)",5
269,"((1, -1, 0), (1, 0, 0), (-1, -1, 1))",2,"(1, 1)",6
270,"((1, -1, 0), (1, 0, 0), (-1, 0, 1))",-2,"(1, 1)",5
271,"((1, -1, 0), (1, 0, 0), (-1, 0, 0))",2,"(1, 1)",4
272,"((1, -1, 0), (1, 1, 0), (0, -1, -1))",2,"(1, 2)",6
273,"((1, -1, 0), (1, 1, 0), (0, -1, 0))",2,"(0, 2)",5
274,"((1, -1, 0), (1, 0, 1), (0, -1, -1))",2,"(1, 1)",6
275,"((1, -1, 0), (1, 0, 1), (0, -1, 0))",-2,"(1, 1)",5
276,"((1, -1, 0), (1, 0, 0), (0, -1, 1))",-2,"(1, 1)",5
277,"((1, -1, 0), (1, 0, 0), (0, -1, 0))",2,"(1, 1)",4
278,"((1, -1, 0), (1, 1, 0), (0, 0, -1))",2,"(0, 2)",5
279,"((1, -1, 0), (1, 0, 1), (0, 0, -1))",2,"(0, 2)",5
280,"((1, -1, 0), (1, 0, 0), (0, 1, -1))",0,"(2, 0)",5
281,"((1, -1, 0), (1, 0, 0), (0, 0, -1))",2,"(1, 1)",4
282,"((1, -1, 0), (1, 0, 0), (0, 0, 0))",2,"(0, 2)",3
283,"((1, -1, -1), (-1, 1, 1), (1, -1, 0))",2,"(2, 2)",8
284,"((1, -1, -1), (-1, 1, 1), (1, 0, -1))",0,"(2, 1)",8
285,"((1, -1, -1), (-1, 1, 1), (1, 0, 0))",0,"(2, 2)",7
286,"((1, -1, -1), (-1, 1, 1), (-1, 1, 0))",2,"(2, 2)",8
287,"((1, -1, -1), (-1, 1, 1), (0, 1, -1))",0,"(2, 0)",8
288,"((1, -1, -1), (-1, 1, 1), (0, 1, 0))",0,"(2, 2)",7
289,"((1, -1, -1), (-1, 1, 1), (0, 0, 0))",2,"(2, 2)",6
